,Unit,Model,Serial,LastSMR
0,ET701 ,730E-8,A40035,2020-02-16 10:31:00
1,ET702 ,730E-8,A40036,2020-02-16 10:32:00
2,ET703 ,730E-8,A40037,2020-02-15 06:17:00
3,ET704 ,730E-8,A40038,2020-02-16 06:18:00
4,ET705 ,730E-8,A40039,2020-02-16 06:46:00
5,ET706 ,730E-8,A40040,2020-02-16 10:35:00
6,HT209 ,830E-17,A30880,2012-06-11 12:00:00
7,HT141 Cardinal River ,830E-17,A30881,2019-06-28 05:35:00
8,HT945 Elkview ,830E-17,A30883,2020-02-14 05:19:00
9,HT120 Fording River ,830E-17,A30884,2015-04-16 05:01:00
10,HT212 (LCO) ,830E-17AC,A30070,2015-02-27 12:35:00
11,HT219 (LCO) ,830E-17AC,A30085,2015-10-22 09:17:00
12,HT210 (LCO) ,830E-17AC,A30106,2016-04-09 03:26:00
13,HT211 (LCO) ,830E-17AC,A30107,2017-09-23 09:37:00
14,HT142 Cardinal River ,830E-1AC,A30182,2020-02-12 05:51:00
15,MT281 ,830E-1AC,A30186,2020-02-16 12:14:00
16,MT282 ,830E-1AC,A30187,2020-02-16 08:54:00
17,MT280 ,830E-1AC,A30190,2020-02-10 12:00:00
18,MT283 ,830E-1AC,A30191,2015-01-04 01:34:00
19,MT284 ,830E-1AC,A30192,2015-10-03 04:16:00
20,MT285 ,830E-1AC,A30193,2020-02-16 10:00:00
21,HT143 Cardinal River ,830E-1AC,A30196,2020-01-07 11:48:00
22,1341 ,830E-1AC,A30236,2014-08-02 07:53:00
23,1342 ,830E-1AC,A30237,2020-02-16 08:22:00
24,1343 ,830E-1AC,A30238,2013-04-08 06:48:00
25,1344 ,830E-1AC,A30239,2020-02-16 12:00:00
26,1345 ,830E-1AC,A30244,2020-02-16 04:54:00
27,1346 ,830E-1AC,A30245,2019-11-09 11:38:00
28,1347 ,830E-1AC,A30246,2020-02-16 09:31:00
29,5491 ,830E-1AC,A30247,2016-11-11 04:18:00
30,HT834 Elkview ,930E-4,A31375,2020-02-16 08:07:00
31,HT835 Elkview ,930E-4,A31376,2018-10-24 12:21:00
32,HT836 Elkview ,930E-4,A31378,2018-06-19 04:31:00
33,HT837 Elkview ,930E-4,A31397,2014-10-05 08:14:00
34,HT838 Elkview ,930E-4,A31406,2015-08-29 10:29:00
35,2651 ,930E-4,A31419,2017-07-19 08:56:00
36,HT839 Elkview ,930E-4,A31436,2012-10-25 03:36:00
37,HT840 Elkview ,930E-4,A31437,2020-02-15 09:14:00
38,2652 ,930E-4,A31442,2019-12-08 03:35:00
39,HT582 Fording River ,930E-4,A31461,2018-11-28 10:08:00
40,HT583 Fording River ,930E-4,A31465,2018-04-17 09:02:00
41,HT787 Greenhills ,930E-4,A31469,2020-02-11 10:58:00
42,HT841 Elkview ,930E-4,A31470,2019-04-02 10:26:00
43,2664 ,930E-4,A31480,2019-10-05 07:16:00
44,4-186 ,930E-4,A31492,2019-08-10 12:00:00
45,2653 ,930E-4,A31499,2016-01-11 03:04:00
46,2654 ,930E-4,A31503,2020-02-16 04:25:00
47,HT796 Greenhills ,930E-4,A31511,2014-02-16 06:55:00
48,2655 ,930E-4,A31515,2017-05-20 12:00:00
49,2662 ,930E-4,A31519,2019-07-23 01:54:00
50,2656 ,930E-4,A31524,2017-03-26 06:11:00
51,2663 ,930E-4,A31525,2017-11-05 04:07:00
52,4-185 ,930E-4,A31537,2020-02-16 04:33:00
53,HT797 Greenhills ,930E-4,A31569,2019-12-12 03:06:00
54,HT798 Greenhills ,930E-4,A31571,2020-02-13 07:20:00
55,HT584 ,930E-4,A31573,2020-02-16 07:37:00
56,2658 ,930E-4,A31589,2016-03-02 05:49:00
57,2657 ,930E-4,A31590,2020-02-16 03:04:00
58,2659 ,930E-4,A31599,2020-02-16 09:17:00
59,2660 ,930E-4,A31604,2017-05-23 02:07:00
60,4-184 ,930E-4,A31609,2020-02-15 11:43:00
61,2661 ,930E-4,A31620,2019-08-06 12:00:00
62,HT586 ,930E-4,A31622,2013-08-08 01:06:00
63,HT585 ,930E-4,A31626,2014-10-08 12:00:00
64,0274 ,930E-4,A31634,2020-02-16 07:22:00
65,4-194 ,930E-4,A31657,2017-05-05 04:24:00
66,HT788 Greenhills ,930E-4,A31681,2018-06-12 05:15:00
67,HT789 Greenhills ,930E-4,A31683,2017-09-08 02:55:00
68,HT790 Greenhills ,930E-4,A31693,2020-02-10 08:00:00
69,HT791 Greenhills ,930E-4,A31701,2020-01-28 06:18:00
70,HT792 Greenhills ,930E-4,A31710,2019-08-04 01:33:00
71,HT793 Greenhills ,930E-4,A31714,2016-05-08 05:44:00
72,HT794 Greenhills ,930E-4,A31738,2019-11-18 05:53:00
73,HT795 Greenhills ,930E-4,A31740,2020-02-12 03:51:00
