,Model,Serial,Unit,Customer,MineSite,Active
0,930E-4,A31569,HT797,GreenHills,Elkford,1
1,930E-4,A30790,TKD 2420 ,CNRL,CNRL,1
2,930E-4,A30788,TKD 2419 ,CNRL,CNRL,1
3,930E-4,A30777,TKD 2418 ,CNRL,CNRL,1
4,930E-4,A30776,TKD 2417 ,CNRL,CNRL,1
5,930E-4,A30795,HT812,ElkView,Elkford,1
6,930E-4,A30794,HT811,ElkView,Elkford,1
7,930E-4,A30792,TKD 2421 ,CNRL,CNRL,1
8,930E-4,A30813,TKD 2424 ,CNRL,CNRL,1
9,930E-4,A30808,HT522,FordingRiver,Elkford,1
10,930E-4,A30806,TKD 2423 ,CNRL,CNRL,1
11,930E-4,A30805,TKD 2422 ,CNRL,CNRL,1
12,930E-4,A30822,HT571,FordingRiver,Elkford,1
13,930E-4,A30820,HT570,FordingRiver,Elkford,1
14,930E-4,A30819,HT521,FordingRiver,Elkford,1
15,930E-4,A30818,HT572,FordingRiver,Elkford,1
16,930E-4,A30898,HT772,GreenHills,Elkford,1
17,930E-4,A30897,HT771,GreenHills,Elkford,1
18,930E-4,A30742,HT525,FordingRiver,Elkford,1
19,930E-4,A30758,TKD 2416 ,CNRL,CNRL,1
20,930E-4,A30757,TKD 2415 ,CNRL,CNRL,1
21,930E-4,A30750,HT524,FordingRiver,Elkford,1
22,930E-4,A31571,HT798,GreenHills,Elkford,1
23,930E-4,A31714,HT793,GreenHills,Elkford,1
24,930E-4,A31710,HT792,GreenHills,Elkford,1
25,930E-4,A30992,HT577,FordingRiver,Elkford,1
26,930E-4,A31693,HT790,GreenHills,Elkford,1
27,930E-4,A31683,HT789,GreenHills,Elkford,1
28,930E-4,A30513,HT546,FordingRiver,Elkford,1
29,930E-4,A30508,HT545,FordingRiver,Elkford,1
30,930E-4,A30868,TKD 2426 ,CNRL,CNRL,1
31,930E-4,A30867,TKD 2425 ,CNRL,CNRL,1
32,930E-4,A31681,HT788,GreenHills,Elkford,1
33,930E-4,A30567,HT549,FordingRiver,Elkford,1
34,930E-4,A30542,HT548,FordingRiver,Elkford,1
35,930E-4,A30541,HT547,FordingRiver,Elkford,1
36,930E-4,A30685,HT526,FordingRiver,Elkford,1
37,930E-4,A30684,HT527,FordingRiver,Elkford,1
38,930E-4,A30659,HT528,FordingRiver,Elkford,1
39,930E-4,A30657,HT529,FordingRiver,Elkford,1
40,930E-4,A30966,HT573,FordingRiver,Elkford,1
41,930E-4,A30965,HT770,GreenHills,Elkford,1
42,930E-4,A31150,HT819,ElkView,Elkford,1
43,930E-4,A31511,HT796,GreenHills,Elkford,1
44,930E-4,A30975,HT575,FordingRiver,Elkford,1
45,930E-4,A30974,HT574,FordingRiver,Elkford,1
46,930E-4,A31079,HT775,GreenHills,Elkford,1
47,930E-4,A31061,HT782,GreenHills,Elkford,1
48,930E-4,A31052,HT776,GreenHills,Elkford,1
49,930E-4,A31049,HT774,GreenHills,Elkford,1
50,930E-4,A31115,HT814,ElkView,Elkford,1
51,930E-4,A31114,HT813,ElkView,Elkford,1
52,930E-4,A31103,HT784,GreenHills,Elkford,1
53,930E-4,A31102,HT783,GreenHills,Elkford,1
54,930E-4,A31081,HT579,FordingRiver,Elkford,1
55,930E-4,A31080,HT773,GreenHills,Elkford,1
56,930E-4,A31138,HT818,ElkView,Elkford,1
57,930E-4,A31137,HT817,ElkView,Elkford,1
58,930E-4,A31118,HT816,ElkView,Elkford,1
59,930E-4,A30981,HT576,FordingRiver,Elkford,1
60,930E-4,A31156,HT778,GreenHills,Elkford,1
61,930E-4,A31154,HT777,GreenHills,Elkford,1
62,930E-4,A31176,HT822,ElkView,Elkford,1
63,930E-4,A31174,HT821,ElkView,Elkford,1
64,930E-4,A31162,HT780,GreenHills,Elkford,1
65,930E-4,A31161,HT779,GreenHills,Elkford,1
66,830E-1AC,A40880,HT151,CardinalRiver,Elkford,1
67,830E-1AC,A40869,HT150,CardinalRiver,Elkford,1
68,930E-4,A31470,HT841,ElkView,Elkford,1
69,930E-4,A31469,HT787,GreenHills,Elkford,1
70,930E-4,A31465,HT583,FordingRiver,Elkford,1
71,930E-4,A31406,HT838,ElkView,Elkford,1
72,930E-4,A31437,HT840,ElkView,Elkford,1
73,930E-4,A31436,HT839,ElkView,Elkford,1
74,930E-4,A31350,HT832,ElkView,Elkford,1
75,930E-4,A31320,HT831,ElkView,Elkford,1
76,930E-4,A31199,HT827,ElkView,Elkford,1
77,930E-4,A31197,HT826,ElkView,Elkford,1
78,930E-4,A31397,HT837,ElkView,Elkford,1
79,930E-4,A31378,HT836,ElkView,Elkford,1
80,930E-4,A31376,HT835,ElkView,Elkford,1
81,930E-4,A31375,HT834,ElkView,Elkford,1
82,930E-4,A31351,HT833,ElkView,Elkford,1
83,930E-4,A31461,HT582,FordingRiver,Elkford,1
84,930E-4,A31191,HT825,ElkView,Elkford,1
85,930E-4,A31189,HT824,ElkView,Elkford,1
86,930E-4,A31183,HT823,ElkView,Elkford,1
87,930E-4,A31152,HT820,ElkView,Elkford,1
88,930E-4,A31159,HT830,ElkView,Elkford,1
89,930E-4,A31158,HT829,ElkView,Elkford,1
90,930E-4,A31740,HT795,GreenHills,Elkford,1
91,930E-4,A31701,HT791,GreenHills,Elkford,1
92,930E-4,A31738,HT794,GreenHills,Elkford,1
93,830E-1AC,A40851,HT149,CardinalRiver,Elkford,1
